vessel,bancroft_flag,registry_flags,tons,master,type,years,vol
Argosy,britain,russia,140,Inestrumo,brig,1825;1826,III
Avon,usa,russia,88,Win S. Hinckley,brig,1834,III
Ayacucho,mexico,britain|russia|spain,67,Geo. F. Comfort,schr,1838,IV
Clarita,mexico,russia|spain,202,Chas Wolter,bark,1841;1842;1844,IV
Clementine,britain,usa,160,,brig,1836;1839,IV
Cowlitz,britain,usa,345,Wm Brotchie,bark,1841,IV
Elena,usa,russia,309,,brig,1839;1840,IV
Fanny,mexico,france,364,Duval,whaler,1843;1845,IV
Guadalupe,usa,spain,60,Carter,schr,1831,III
Index,usa,britain,211,Wilson,bark,1841;1842;1843;1845,IV
Juanita,usa,mexico,126,John Wilson,schr,1841;1844;1845,IV
Maria,mexico,russia,109,W. Holstein,brig,1845,IV
Maria Ester,mexico,spain,93,Davis,brig,1828,III
Natalia,usa,mexico|russia,185,Juan Gomez,brig,1834,III
Okhotsk,britain,russia,150,Dionisio Zarembo,brig,,III
Triton,usa,france,300,Wm Deny,whaler,1825,III
