name,tons,flag,type,master,years,ports,vol,tier
Andes,172,usa,brig,,1827;1828,S. Diego,III,clean
Auguste Duhaut-Cilly,249,britain,brig,,1827,S. Fran,III,clean
Bertha and Jenny,130,mexico,brig,John Mein,1841;1842;1843,,IV,clean
Broohline,417,usa,ship,Jas O. Locke,1829;1830,S. Diego,III,clean
By Chance,84,usa,schr,Hiram Covcll,1831;1833;1834,,III,clean
Cadboro,71,britain,schr,WmBrotcliie,1836;1837;1838,Bodega;San Francisco,IV,clean
Ccdifornia,422,usa,ship,Jas P. Arther,1843,,IV,clean
Charles,301,usa,whaler,Aaron W. Williams,1827;1828,S. Fran,III,clean
Columbine,55,mexico,schr,Manuel Turincio,1841;1842,,IV,clean
Comair,182,usa,brig,Michael Dowd,1841;1843,S. Fran,IV,clean
Comele,500,france,ship,Antoine Placiat,1825;1827,S. Fran,III,clean
Cooper,314,usa,bark,Sam. J. Hastings,1841,,IV,clean
El Placer,60,usa,brig,Charles Welters,1847;1848,,V,clean
Enriqucta,62,usa,schr,Young,1833;1834,,III,clean
Fearnaiight,91,britain,schr,Robt U. Dare,,,IV,clean
Feigkton,351,mexico,whaler,Benj. H. Lawton,1834,Santa Bdrbara,III,clean
Friend,404,usa,whaler,L. B. Blindenburg,1832;1835,S. Fran,III,clean
Garrafdia,170,usa,brig,,1831;1833,S. Pedro,III,clean
Gray,34,usa,,,1848,,V,clean
Harriet,417,usa,whaler,Carter,1831;1833,S. Fran,III,clean
Harvest,307,usa,ship,A. Cash,1836;1837;1839,S. Fran,IV,clean
Ilelveiius,250,britain,whaler,Auguste Duhaut-Cilly,1827,,III,clean
Inca,170,britain,brig,,1820;1825;1829,,III,clean
Iolani,48,usa,schr,Jas Rogers,1835,S. Fran,III,clean
Jdoen Guipuzcoana,210,mexico,brig,Snook,1841;1842,S. Diego,IV,clean
Jdven Carolina,172,mexico,schr,Legarda,1841;1842,,IV,clean
Jnan Jose,217,,brig,Thos Duncan,1840,S. Fran,IV,clean
John Jay,400,usa,whaler,Wm J. Rogers,1842;1843;1844,,IV,clean
Juan Jose,218,mexico,brig,Thos Duncan,1841;1842;1843;1844,,IV,clean
Julia Ann,106,usa,schr,Wm A. Leidesdorff,1841,,IV,clean
Kent,264,usa,bark,John Stickney,1836;1837;1838,S. Diego,IV,clean
Lconor,207,mexico,ship,Fitch,,,III,clean
Llama,140,britain,brig,Wm M. Neill,1833;1834,S. Fran,III,clean
Magruder,15,usa,schr,Faiton,1831;1834,S. Bassett;S. Fran,III,clean
Malarin,207,mexico,ship,Henry D. Fitch,1831;1833;1835,S. Bias,III,clean
Maria Teresa,185,usa,brig,Julian Hanks,1845,S. Diego,IV,clean
Maria Theresa,291,usa,whaler,Win Guilcost,1826;1827,S. Fran,III,clean
Martha,350,mexico,whaler,Tim. W. Riddell,1834;1835,,III,clean
Mathilde,130,usa,brig,,1846;1847,,V,clean
Maynolia,400,usa,whaler,B. Simmons,1843;1844;1845,,IV,clean
Neill,70,,schr,H. Nye and A. B. Thompson,1833,S. Bias;S. Fran,III,clean
Nereid,365,britain,ship,Wm Brotchie,1838;1839,Monterey;S. Fran,IV,clean
Paraqon,309,usa,whaler,Dav. Edwards,1826;1827,S. Fran,III,clean
Polifemia,180,mexico,brig,N. bosenberg,1833;1834,,III,clean
Porpoixe,230,,brig,,,,IV,clean
Rafak,249,usa,whaler,Henry S. West,1842;1843,Bodega;S. West,IV,clean
Rascow,362,usa,whaler,Geo. Reed,1825,S. Fran;S. Pedro,III,clean
Rosa,425,,ship,Nic. Eianchi,1834;1835,,III,clean
Rosalia,323,usa,ship,Cooper,1825,S. Pedro,III,clean
Santa Bdrbara,40,mexico,schr,Thos Robbins,1830;1832,S. Fran,III,clean
Sarah and Caroline,396,usa,ship,Jos Steel,1836,,IV,clean
Sitka,202,usa,bark,Jos Steel,1832;1835,S. Fran,III,clean
Soledad,105,mexico,brig,Chas Hubbard,1843,San Pedro,IV,clean
Sraiiiiirj,109,britain,ship,,1837;1839,,IV,clean
Sterling,386,usa,ship,Geo. W. Vincent,1841;1844;1845,,IV,clean
Sulphur,380,britain,whaler,Emmett,1837;1839,,IV,clean
The Loo Choo,639,,,,,,V,clean
The Susan Drew,701,,sloop,,,,V,clean
Tranquilina,309,mexico,whaler,Geo. Prince,1831;1832;1834;1835,S. Fran,III,clean
Trident,450,usa,ship,Wm Deny,1825;1829,S. Pedro,III,clean
Vancouver,325,usa,bark,Alex. Duncan,1843;1845,,IV,clean
Vdoz Asturiano,179,france,brig,Cdrlos V. Gafan,1837,,IV,clean
Whaleman,310,usa,brig,Jos. Paddock,,S. Pedro,III,clean
Daniel O'Cmmell,100,,brig,Andres Murcilla,1837;1839,,IV,name-garbled
Fwnchal,190,mexico,brig,Stephen Anderson,1820;1830,S. Pedro,III,name-garbled
Haw.aiianl,198,russia,,,1836;1837,,IV,name-garbled
Jdce.n Guipuzcoana,200,mexico,bark,,1846;1847,,V,name-garbled
Jl.i'tx,303,usa,whaler,Wni Collin,,S. Fran,III,name-garbled
Leonidcts,206,usa,schr,Gomez,1836,,IV,name-garbled
Ycrnle,140,usa,schr,Wm Deny,1830,S. Bias;S. Fran;S. Hinkley,III,name-garbled
