visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,descubierta,Descubierta,1794,1794,exact,,alta,,,,,port-call?,1,"[calendar2 v0.5] General foreign-ship EXCLUSION order, synthesizing the whole policy (verified scale 1; see E16): no foreign ships in Ame","[{""type"": ""ca-record"", ""ca"": ""7"", ""doc"": ""284"", ""scan"": ""n189–n190"", ""url"": ""https://archive.org/details/168036075_79_9_2/page/n189""}]",NEW SHIP,draft
,nueva california,Nueva California,1784,1784,year,,alta,,,,,port-call?,1,"[calendar2 v0.5] The 'missions-can't-supply-presidios' report + a 'Nueva California' description (4 presidios, 9 missions, 2 pueblos; cli","[{""type"": ""ca-record"", ""ca"": ""22"", ""doc"": ""2038"", ""scan"": ""n332–n336"", ""url"": ""https://archive.org/details/168036074_80_4_2/page/n332""}]",NEW SHIP; place-name? (FP class 4),draft
,providence,Providencia,1796,1796,exact,Monterey,alta,,,,,port-call?,1,"[calendar2 v0.5] English frigate *Providencia* (HMS *Providence*, Broughton) arrives at Monterey + given aid","[{""type"": ""ca-record"", ""ca"": ""23"", ""doc"": ""146"", ""scan"": ""n475"", ""url"": ""https://archive.org/details/168036074_80_5_2/page/n475""}]",variant of existing ship 'providence',draft
,morelos,Morelos,1832,1832,exact,,alta,,,,,port-call?,1,"[calendar2 v0.5] Names Martínez interim chief of the infantry force embarked on the war corvette *Morelos*, ready to sail to California (","[{""type"": ""ca-record"", ""ca"": ""28"", ""doc"": ""69"", ""scan"": ""n54"", ""url"": ""https://archive.org/details/168036073_80_10/page/n54""}]",,draft
,catalina,Catalina,1832,1832,exact,,alta,,,,,port-call?,1,"[calendar2 v0.5] Receipt of money (visado by Araujo, certified by Zamorano, in copy) — ties to the *Catalina* [cited: Sav p.74]","[{""type"": ""ca-record"", ""ca"": ""28"", ""doc"": ""92"", ""scan"": ""n74"", ""url"": ""https://archive.org/details/168036073_80_10/page/n74""}]",which Catalina? era-conflation (FP 2),draft
,catalina,Catalina,1832,1832,exact,Aspirante de la Marina Nacional,alta,,,,,port-call?,1,[calendar2 v0.5] Certifies embarking with a riding saddle aboard the Bergantín *Catalina* [cited: Sav p.76],"[{""type"": ""ca-record"", ""ca"": ""28"", ""doc"": ""97"", ""scan"": ""n76"", ""url"": ""https://archive.org/details/168036073_80_10/page/n76""}]",which Catalina? era-conflation (FP 2),draft
,rosa,Rosa,1835,1835,exact,San Juan Bautista,alta,,,,,port-call?,1,[calendar2 v0.5] The disarming & suspension of the Híjar–Padrés colony leadership: orden de recoger el armamento y municiones que tiene P,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""7"", ""scan"": ""n11–n12"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n11""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,rosa,Rosa,1835,1835,exact,Monterey,alta,,,,,port-call?,1,[calendar2 v0.5] Pago del flete de la 'Nueva Colonia': el sobrecargo de la Fragata *Rosa* Antonio J. Cot presentó el ajuste de fletes; He,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""14"", ""scan"": ""n17–n18"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n17""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,rosa,Rosa,1835,1835,exact,San Gabriel,alta,,,,,port-call?,1,"[calendar2 v0.5] Envío de efectos: por solicitud del Director Híjar, transporte de varios efectos pertenecientes a los indios de la colon","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""15"", ""scan"": ""n18–n19"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n18""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,rosa,Rosa,1835,1835,exact,Los Angeles,alta,,,,,port-call?,1,"[calendar2 v0.5] The deportation confirmed: por el oficio de Vallejo del 27 de Marzo, quedó enterado de haber embarcado en la fragata *Ro","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""16"", ""scan"": ""n19–n20"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n19""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,catalina,Catalina,1835,1835,month,San Gabriel,alta,,,,,port-call?,1,"[calendar2 v0.5] Pide transporte para los desterrados en el Bergantín *Catalina* hasta San Blas (transbordándolos de la *Rosa*, donde se ","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""17"", ""scan"": ""n20–n21"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n20""}]",which Catalina? era-conflation (FP 2),draft
,rosa,Rosa,1835,1835,month,San Gabriel,alta,,,,,port-call?,1,"[calendar2 v0.5] Pide transporte para los desterrados en el Bergantín *Catalina* hasta San Blas (transbordándolos de la *Rosa*, donde se ","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""17"", ""scan"": ""n20–n21"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n20""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,sonora,Sonora,1835,1835,exact,Los Angeles,alta,,,,,port-call?,1,"[calendar2 v0.5] Exposición confidencial del procedimiento de la sumaria contra los sediciosos (fiscal, abogado defensor, acusación, tras","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""18"", ""scan"": ""n21–n23"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n21""}]",,draft
,loriot,Loriot,1835,1835,exact,San Gabriel,alta,,,,,port-call?,1,"[calendar2 v0.5] The deportation contract: Figueroa, a nombre de la Nación Mexicana, contrata con A. B. Thompson, consignatario del berga","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""20"", ""scan"": ""n24–n26"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n24""}]",,draft
,rosa,Rosa,1835,1835,exact,Santa Bárbara,alta,,,,,port-call?,1,"[calendar2 v0.5] El 14 dio fondo la fragata *Rosa* con Híjar, Padrés, Berduzco, Suárez y otros — en total 34 personas — que desembarcaron","[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""21"", ""scan"": ""n26"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n26""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,rosa,Rosa,1835,1835,exact,A bordo de la Fragata *Rosa*,alta,,,,,port-call?,1,[calendar2 v0.5] Padrés's own voice from the ship: re el pasaje de él y su familia — se queja de que la Comisaría de Monterey no le facil,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""23"", ""scan"": ""n27"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n27""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,loriot,Loriot,1835,1835,exact,A bordo del Bergantín *Loriot*,alta,,,,,port-call?,1,[calendar2 v0.5] Padrés's rights-based PROTEST (7-page counter-narrative to Figueroa's Manifiesto): protesta 'solemnemente ante Dios y lo,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""28"", ""scan"": ""n32–n35"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n32""}]",,draft
,loriot,Loriot,1835,1835,exact,San Pedro,alta,,,,,port-call?,1,[calendar2 v0.5] Relativo a los procedimientos contra ciertos prisioneros venidos a bordo del bergantín *Loriot* (los indios que deben de,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""31"", ""scan"": ""n38"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n38""}]",,draft
,rosa,Rosa,1835,1835,exact,San Pedro,alta,,,,,port-call?,1,[calendar2 v0.5] Relativo a los procedimientos contra ciertos prisioneros venidos a bordo del bergantín *Loriot* (los indios que deben de,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""31"", ""scan"": ""n38"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n38""}]",NEW SHIP; common name — one Rosa or several? (FP 2),draft
,clementina,Clementina,1836,1836,exact,Monterey,alta,,,,,port-call?,1,[calendar2 v0.5] 'Sobre sublevaciones' (the Chico overthrow in detail): el contrato con Guillermo (William) Hinckley para fletar el berga,"[{""type"": ""ca-record"", ""ca"": ""29"", ""doc"": ""91"", ""scan"": ""n117–n118"", ""url"": ""https://archive.org/details/168036073_80_11_3/page/n117""}]",,draft
