visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,spry,Spry,1826-06-19,1826-06-19,exact,Santa Bárbara,alta,usa,stated ('Gol. Amⁿ'),trade,$723 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] Gol. Amⁿ 'Spry', 19 Jun 1826 — $723.3","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,jackson,Jackson,1826-06-27,1826-06-27,exact,Santa Bárbara,alta,usa,stated ('frag. Amⁿ'),trade,$448 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] frag. Amⁿ 'Jackson', 27 Jun 1826 — $448.3","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,figaro,Fígaro,1826-09-13,1826-09-13,exact,Santa Bárbara,alta,usa,stated ('frag. Amⁿ'),trade,$533 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] frag. Amⁿ 'Fígaro', 13 Sep 1826 — $533","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,thomas nowlan,Thomas Nowlan,1826-10-22,1826-10-22,exact,Santa Bárbara,alta,usa,stated ('frag. Amⁿ'),trade,$2199 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] frag. Amⁿ 'Thomas Nowlan', 22 Oct 1826 — $2199.4","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,courier,Courier,1826-10-28,1826-10-28,exact,Santa Bárbara,alta,usa,stated ('frag. Amⁿ'),trade,$1536 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] frag. Amⁿ 'Courier', 28 Oct 1826 — $1536.4 (arrival triggered Herrera's foreign-trade prohibition, C-A 40 d43)","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,mcculloch,McCulloch[?],1826-12-09,1826-12-09,exact,Santa Bárbara,alta,usa,stated ('frag. Amⁿ'),trade,$813 duties,port-call,1,"[C-A 40 Sta Bárbara customs ledger, 1826] frag. Amⁿ 'McCulloch[?]', 9 Dec 1826 — $813.4 (Savage rendering uncertain)","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""68"", ""scan"": ""n65"", ""url"": ""https://archive.org/details/168036070_81_2/page/n65""}]",,draft
,rover,Rover,1826-06-07,1826-06-07,exact,Monterey,alta,usa,stated ('goleta Amⁿ'),trade,paid import+tonnage+silver-extraction duties,port-call,1,"[C-A 40 d38] goleta Amⁿ 'Rover', Capⁿ Juan (John R.) Cooper, arrived Monterey from CANTON; unloaded & sold","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""38"", ""scan"": ""n39"", ""url"": ""https://archive.org/details/168036070_81_2/page/n39""}]",,draft
,jackson,Jackson,1825-11-05,1825-11-05,exact,Monterey,alta,usa,stated ('Amⁿ'),trade,25% duties less 12½% on sales,port-call,1,"[C-A 40 d9] Amⁿ 'Jackson', supercargo Guillermo (William A.) Gale, collecting frutos del país to export","[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""9"", ""scan"": ""n7"", ""url"": ""https://archive.org/details/168036070_81_2/page/n7""}]",,draft
,wilcox,Wilcox,1825-11-17,1825-11-17,exact,Santa Bárbara,alta,usa,stated ('bergⁿ Amⁿ'),trade,$1824.4.2 duties (advance-collection convenio cost the Hacienda ~600),port-call,1,[C-A 40 d7] brig Amⁿ 'Wilcox' sold merchandise at Sta Bárbara (re Luis Argüello); later a charge vs Comisario Herrera,"[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""7"", ""scan"": ""n5"", ""url"": ""https://archive.org/details/168036070_81_2/page/n5""}]",,draft
,harbinger,Harbinger,1826-05-01,1826-05-09,exact,San Diego,alta,usa,stated ('fragata Amⁿ'),trade,$450 tonnage (118 tons); left WITHOUT sales for the NW coast,port-call,1,[C-A 40 d54/d55] fragata Amⁿ 'Harbinger' from the SANDWICH ISLANDS at San Diego; to continue to the NW coast & return within a year; Argüello certifies she left without sales,"[{""type"": ""ca-record"", ""ca"": ""40"", ""doc"": ""54"", ""scan"": ""n53"", ""url"": ""https://archive.org/details/168036070_81_2/page/n53""}]",,draft
