visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status,drop_reason
v0001,juno-1767,Juno,1767-11-03,1767-11-03,exact,,alta,spain,attested/inferred,exploration,,unlocated,1,"Pay and wine rations for Compañía franca de Voluntarios de Cataluña, destined for Expedición de Sonora. Embarked from Cá","[{""type"": ""ca-record"", ""ca"": ""1"", ""doc"": ""2"", ""scan"": ""n1–n3"", ""url"": ""https://archive.org/details/168036075_79_3_2/page/n1""}]",,draft,out-of-scope: 1767 Cadiz embarkation for the Sonora expedition; no California nexus (class: not-a-CA-visit)
v0177,mercury,Mercurio,1790-10-25,1790-10-25,exact,Nootka,alta,usa,attested/inferred,contraband,,port-call?,1,Reserved instructions (Conde de Floridablanca) accompanying the NOOTKA CONVENTION of 1790 with England. Orders the Vicer,"[{""type"": ""ca-record"", ""ca"": ""13"", ""doc"": ""103"", ""scan"": ""n97–n99"", ""url"": ""https://archive.org/details/168036075_79_15_2/page/n97""}]",,draft,"Nootka-crisis policy instructions (Floridablanca, 1790); anchorage Nootka is not California; era-conflated with the American Mercury of 1806-26 (classes 1+2)"
v0368,(unnamed vessel),,1795,1795,year,,alta,usa,stated,otter,,unlocated,1,ENGLISH FUR TRADE CONSPIRACY: 'Está probado que los Ingleses conspiran por apropiarse del comercio de la peletería.' Eng,"[{""type"": ""ca-record"", ""ca"": ""14"", ""doc"": ""191"", ""scan"": ""n219"", ""url"": ""https://archive.org/details/168036075_79_16_2/page/n219""}]",,draft,policy report on English fur-trade designs; no specific vessel; flag usa contradicted its own content (class 1)
v0130,(unnamed vessel),,1786,1786,year,,alta,russia,stated,,,unlocated,1,Cattle-increase to soldiers; ⭐⭐ approves the proceeding against a foreign[?] ('Ruso[?]') ship-captain for carrying off 2,"[{""type"": ""ca-record"", ""ca"": ""22"", ""doc"": ""2044"", ""scan"": ""n356–n359"", ""url"": ""https://archive.org/details/168036074_80_4_2/page/n356""}]",,draft,"LEAF-VERIFIED (C-A 22 n356-357, 2026-08-04): entry is 1792 not 1786, Loreto series, Set.12 pp.560-3: proceeding vs capitan 'Rusis[?]' for carrying off dos Indias cristianas -- no vessel mentioned; 'Ruso' reading unsupported (classes 3+5)"
v0184,(unnamed vessel),,1791-02-22,1791-02-22,exact,,alta,britain,stated,contraband,,unlocated,1,NOOTKA / OPEN DOOR (heading reads *'Sobre prisiones'* — ⚠ mismatch; content is the fishing-vessel order): transmits Flor,"[{""type"": ""ca-record"", ""ca"": ""6"", ""doc"": ""87"", ""scan"": ""n81"", ""url"": ""https://archive.org/details/168036075_79_8/page/n81""}]",,draft,1791 Nootka policy circular (fishing-vessel order transmission); no vessel visit (class 1)
v2134,santiago,Santiago,,,inferred,,alta,spain,attested/inferred,,,unlocated,1,a friendly personal letter — rain & the river; 'Santiago' & 'mi Estudillo'; Manuel Machado's land memorial (not to preju,"[{""type"": ""ca-record"", ""ca"": ""46"", ""doc"": ""107"", ""scan"": ""n258"", ""url"": ""https://archive.org/details/168036065_81_8_regular/page/n258""}]",,draft,"person-as-ship: 'Santiago' in a C-A 46 personal letter is a person, not the 1770s frigate (class 3)"
v2125,(unnamed vessel),,,,inferred,,alta,britain,stated,,wrecked,unlocated,1,"Bounded late-Mexican fiscal/military: the artillery corps revistas/budgets (1841 ~20–25 plazas; 1844 monthly ~$1,160–1,2","[{""type"": ""ca-record"", ""ca"": ""20"", ""doc"": ""254"", ""scan"": ""n372–n400"", ""url"": ""https://archive.org/details/168035972_80_2_2/page/n372""}]",,draft,no vessel in excerpt or full abstract (fiscal/budget material) (class 1)
v0077,(unnamed vessel),,1780-09-22,1780-09-22,exact,,alta,,,supply,deserters,unlocated,1,On the disadvantages of the large caballada situado & the rising military parity of the frontier Indians. Forwards his m,"[{""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""173"", ""scan"": ""n147–n149"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n147""}]",,draft,"full-abstract check: caballada/situado memo, no vessel (class 1)"
v0153,(unnamed vessel),,1787-03-31,1787-03-31,exact,Loreto,baja,,,,,port-call?,1,On maritime mail — the Comandante-General's order re the correo canoe for the Peninsula & completing its crew; the corre,"[{""type"": ""ca-record"", ""ca"": ""4"", ""doc"": ""141"", ""scan"": ""n94"", ""url"": ""https://archive.org/details/168036075_79_6_2/page/n94""}]",,draft,"full-abstract check: correo-canoe mail policy, no ship visit (class 1)"
v0169,(unnamed vessel),,1788-10-14,1788-10-14,exact,San Diego,alta,,,exploration,,port-call?,1,'Prisión de un Indio' — the cabo of San Gabriel holds the neophyte Antº Planes imprisoned 'por andar queriendo enyerbar ,"[{""type"": ""ca-record"", ""ca"": ""4"", ""doc"": ""187"", ""scan"": ""n254"", ""url"": ""https://archive.org/details/168036075_79_6_2/page/n254""}]",,draft,"full-abstract check: 'capitancillo' is an Indian headman ('little-captain rewarded in name of the King'), no vessel (class 3)"
