visit_id,ship_id,name_as_written,date_from,current_flag,proposed_flag,confidence,matched_by,bancroft_master,bancroft_tons,bancroft_years,evidence
v1242,la independencia,La Independencia,1822-05-04,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1243,el alcion,El Alción,1822-05-05,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1249,san carlos,San Carlos,1822-07-20,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1252,san carlos,San Carlos,1822-08-08,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1262,eagle,Eagle,1822-12-31,russia,usa,medium,ship_id,Moraviof,,1825,Bancroft HoC vol III lists it as usa.
v1268,ann,Ann,1823,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1269,ann,Ann,1823,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1270,ann,Ann,1823,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1363,nieves,Nieves,1825,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1376,(unnamed vessel),,1825-03-01,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1387,sutil,Sutil,1825-05-20,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1389,asia,Asia,1825-06-24,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
v1393,asia,Asia,1825-08-04,spain,REVIEW,medium,none,,,,Spain had no California trade after 1821 and Bancroft lists no Spanish-flagged vessel in HoC III-V; flag needs re-determination.
