ship_id,year,note
activo,1802,Bancroft HoC II narrates this vessel in 1802 (San Diego); 1 mention(s)
activo,1803,Bancroft HoC II narrates this vessel in 1803 (San Diego); 2 mention(s)
albatross,1816,Bancroft HoC II narrates this vessel in 1816 (Refugio); 5 mention(s)
alexander,1803,"Bancroft HoC II narrates this vessel in 1803 (Monterey, San Diego, San Juan Capistrano); 5 mention(s)"
alexander,1804,Bancroft HoC II narrates this vessel in 1804 (San Diego); 2 mention(s)
alexander,1806,Bancroft HoC II narrates this vessel in 1806 (San Francisco); 2 mention(s)
antonio,1817,"Bancroft HoC II narrates this vessel in 1817 (Monterey, San Francisco); 5 mention(s)"
apollon,1822,Bancroft HoC II narrates this vessel in 1822; 1 mention(s)
apollon,1823,"Bancroft HoC II narrates this vessel in 1823 (Monterey, San Francisco); 3 mention(s)"
apollon,1824,Bancroft HoC II narrates this vessel in 1824; 1 mention(s)
apolonia,1823,Bancroft HoC II narrates this vessel in 1823; 1 mention(s)
aquiles,1825,Bancroft HoC II narrates this vessel in 1825; 1 mention(s)
aranzazu,1793,Bancroft HoC I narrates this vessel in 1793 (San Francisco); 2 mention(s)
aranzazu,1794,Bancroft HoC I narrates this vessel in 1794 (Monterey); 1 mention(s)
aranzazu,1796,Bancroft HoC I narrates this vessel in 1796; 1 mention(s)
asia,1825,Bancroft HoC II narrates this vessel in 1825 (Monterey); 3 mention(s)
astrolabe,1786,Bancroft HoC I narrates this vessel in 1786 (Monterey); 1 mention(s)
baikal,1825,"Bancroft HoC II narrates this vessel in 1825 (San Francisco, Sitka); 2 mention(s)"
baikal,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
baikal,1828,Bancroft HoC II narrates this vessel in 1828; 2 mention(s)
baikal,1829,Bancroft HoC II narrates this vessel in 1829; 1 mention(s)
baikal,1839,Bancroft HoC II narrates this vessel in 1839; 1 mention(s)
betsy,1800,Bancroft HoC I narrates this vessel in 1800 (San Francisco); 3 mention(s)
bordelais,1817,Bancroft HoC II narrates this vessel in 1817 (San Francisco); 1 mention(s)
boussole,1786,Bancroft HoC I narrates this vessel in 1786 (Monterey); 1 mention(s)
brooklyn,1829,Bancroft HoC II narrates this vessel in 1829; 1 mention(s)
caminante,1817,"Bancroft HoC I narrates this vessel in 1817 (Monterey, San Francisco); 3 mention(s)"
cazadora,1817,Bancroft HoC II narrates this vessel in 1817 (Monterey); 1 mention(s)
chatham,1792,"Bancroft HoC II narrates this vessel in 1792 (Monterey, San Francisco); 4 mention(s)"
chatham,1793,Bancroft HoC I narrates this vessel in 1793 (Monterey); 1 mention(s)
chatham,1794,"Bancroft HoC I narrates this vessel in 1794 (Monterey, San Diego); 2 mention(s)"
clara,1840,Bancroft HoC II narrates this vessel in 1840; 1 mention(s)
clarion,1818,Bancroft HoC II narrates this vessel in 1818 (Santa Bárbara); 3 mention(s)
columbia,1815,Bancroft HoC II narrates this vessel in 1815 (Monterey); 3 mention(s)
concepcion,1794,Bancroft HoC I narrates this vessel in 1794 (Bodega); 2 mention(s)
concepcion,1795,Bancroft HoC I narrates this vessel in 1795; 1 mention(s)
concepcion,1796,"Bancroft HoC I narrates this vessel in 1796 (Monterey, San Diego); 3 mention(s)"
concepcion,1799,"Bancroft HoC I narrates this vessel in 1799 (Monterey, San Diego, San Francisco); 6 mention(s)"
concepcion,1800,"Bancroft HoC I narrates this vessel in 1800 (Monterey, San Diego); 4 mention(s)"
concepcion,1801,Bancroft HoC I narrates this vessel in 1801; 2 mention(s)
concepcion,1802,Bancroft HoC II narrates this vessel in 1802 (Bodega); 1 mention(s)
concepcion,1804,Bancroft HoC II narrates this vessel in 1804 (San Diego); 1 mention(s)
concepcion,1805,Bancroft HoC II narrates this vessel in 1805 (Monterey); 1 mention(s)
concepcion,1806,Bancroft HoC II narrates this vessel in 1806 (Monterey); 1 mention(s)
concepcion,1808,Bancroft HoC II narrates this vessel in 1808 (San Diego); 1 mention(s)
consecuencia,1818,Bancroft HoC II narrates this vessel in 1818; 1 mention(s)
constante,1825,Bancroft HoC II narrates this vessel in 1825 (Monterey); 1 mention(s)
cossack,1819,"Bancroft HoC II narrates this vessel in 1819 (San Diego, San Francisco); 2 mention(s)"
courier,1826,Bancroft HoC II narrates this vessel in 1826; 1 mention(s)
danube,1830,Bancroft HoC II narrates this vessel in 1830 (San Pedro); 3 mention(s)
discovery,1792,Bancroft HoC I narrates this vessel in 1792 (San Francisco); 1 mention(s)
discovery,1793,"Bancroft HoC I narrates this vessel in 1793 (Bodega, San Francisco); 2 mention(s)"
discovery,1794,Bancroft HoC I narrates this vessel in 1794 (Monterey); 1 mention(s)
dromo,1808,Bancroft HoC II narrates this vessel in 1808 (San Diego); 2 mention(s)
eagle,1807,Bancroft HoC II narrates this vessel in 1807 (San Diego); 1 mention(s)
eagle,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 1 mention(s)
enterprise,1824,Bancroft HoC II narrates this vessel in 1824 (Monterey); 1 mention(s)
europa,1820,Bancroft HoC II narrates this vessel in 1820 (San Francisco); 2 mention(s)
factor,1825,Bancroft HoC II narrates this vessel in 1825; 1 mention(s)
favorita,1779,Bancroft HoC I narrates this vessel in 1779; 1 mention(s)
favorita,1782,Bancroft HoC I narrates this vessel in 1782 (Monterey); 1 mention(s)
favorita,1784,Bancroft HoC I narrates this vessel in 1784 (San Francisco); 1 mention(s)
favorita,1787,Bancroft HoC I narrates this vessel in 1787 (Monterey); 1 mention(s)
flora,1813,Bancroft HoC II narrates this vessel in 1813 (Monterey); 2 mention(s)
franklin,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
hazard,1803,"Bancroft HoC II narrates this vessel in 1803 (San Juan Capistrano, Santa Bárbara); 3 mention(s)"
hazard,1804,"Bancroft HoC II narrates this vessel in 1804 (Monterey, San Diego, San Francisco, San Juan Capistrano); 7 mention(s)"
isaac todd,1814,Bancroft HoC II narrates this vessel in 1814 (Monterey); 2 mention(s)
isabel,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
isabel,1833,Bancroft HoC II narrates this vessel in 1833; 2 mention(s)
john begg,1822,Bancroft HoC II narrates this vessel in 1822 (San Francisco); 3 mention(s)
john begg,1823,Bancroft HoC II narrates this vessel in 1823 (San Diego); 1 mention(s)
juno-rac,1806,"Bancroft HoC II narrates this vessel in 1806 (San Francisco, Sitka); 4 mention(s)"
karimoko,1828,Bancroft HoC II narrates this vessel in 1828; 1 mention(s)
lelia byrd,1803,"Bancroft HoC II narrates this vessel in 1803 (San Diego, San Francisco); 2 mention(s)"
lelia byrd,1804,Bancroft HoC II narrates this vessel in 1804 (Monterey); 2 mention(s)
lelia byrd,1805,Bancroft HoC II narrates this vessel in 1805 (San Diego); 1 mention(s)
leonor,1836,Bancroft HoC II narrates this vessel in 1836; 1 mention(s)
louisa,1831,Bancroft HoC II narrates this vessel in 1831; 1 mention(s)
lydia,1816,"Bancroft HoC II narrates this vessel in 1816 (Refugio, Santa Bárbara, Sitka); 9 mention(s)"
maria,1814,"Bancroft HoC II narrates this vessel in 1814 (Loreto, San Francisco); 3 mention(s)"
maria,1834,"Bancroft HoC II narrates this vessel in 1834 (Refugio, San Francisco); 13 mention(s)"
maria ester,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
maria ester,1830,Bancroft HoC II narrates this vessel in 1830; 1 mention(s)
mariquita,1833,Bancroft HoC II narrates this vessel in 1833; 1 mention(s)
massachusetts,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
mentor,1823,Bancroft HoC II narrates this vessel in 1823 (Sitka); 1 mention(s)
mentor,1824,Bancroft HoC II narrates this vessel in 1824 (Monterey); 1 mention(s)
mercedes,1801,Bancroft HoC II narrates this vessel in 1801 (Trinidad); 1 mention(s)
mercury,1808,Bancroft HoC II narrates this vessel in 1808 (Trinidad); 2 mention(s)
mercury,1813,"Bancroft HoC II narrates this vessel in 1813 (Monterey, Santa Bárbara); 6 mention(s)"
mercury,1814,Bancroft HoC II narrates this vessel in 1814; 1 mention(s)
mercury,1815,"Bancroft HoC II narrates this vessel in 1815 (San Francisco, San Pedro); 3 mention(s)"
mercury,1816,Bancroft HoC II narrates this vessel in 1816 (San Francisco); 1 mention(s)
merope,1825,Bancroft HoC II narrates this vessel in 1825; 1 mention(s)
mexicana,1794,"Bancroft HoC I narrates this vessel in 1794 (Bodega, San Francisco); 3 mention(s)"
morelos,1834,Bancroft HoC II narrates this vessel in 1834; 1 mention(s)
natalia,1834,Bancroft HoC II narrates this vessel in 1834; 1 mention(s)
nicolas,1840,Bancroft HoC II narrates this vessel in 1840; 1 mention(s)
ninfa,1840,Bancroft HoC II narrates this vessel in 1840; 1 mention(s)
o'cain,1806,"Bancroft HoC II narrates this vessel in 1806 (Bodega, San Blas, San Diego, Santa Bárbara, Trinidad); 7 mention(s)"
ontario,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 2 mention(s)
orcasitas,1803,Bancroft HoC II narrates this vessel in 1803; 1 mention(s)
orion,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
otter,1796,"Bancroft HoC I narrates this vessel in 1796 (Monterey, San Francisco); 4 mention(s)"
panther,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 2 mention(s)
paz y religion,1815,Bancroft HoC II narrates this vessel in 1815 (Monterey); 2 mention(s)
paz y religion,1817,Bancroft HoC II narrates this vessel in 1817 (Monterey); 1 mention(s)
peacock,1806,"Bancroft HoC II narrates this vessel in 1806 (Refugio, San Diego, San Juan Capistrano, Santa Bárbara); 7 mention(s)"
pedler,1814,"Bancroft HoC II narrates this vessel in 1814 (San Francisco, Santa Bárbara); 5 mention(s)"
