visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,american,,1799,1799,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep]  set to work while awaiting a vessel to take them to San Bias."" In ]\Iay 1799 James Rowan in the Eliza, an American ship, anchored at San ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1799)"", ""note"": "" set to work while awaiting a vessel to take them to San Bias.\"" In ]\\Iay 1799 James Rowan in the Eliza, an American ship, anchored at San Fr""}]",,draft
,american,,1810,1810,year,Bodega,alta,,,,,port-call?,1,"[HoC sweep] t. Pap., Ben. Mil., MS., xliv. 5; xlviii. 13; Prov. Bee, MS., viii. 211-12; ix. 125. Sept. 28, 1810, a small American vessel at Bodega wit","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1810)"", ""note"": ""t. Pap., Ben. Mil., MS., xliv. 5; xlviii. 13; Prov. Bee, MS., viii. 211-12; ix. 125. Sept. 28, 1810, a small American vessel at Bodega with ""}]",,draft
,american,,1811,1811,year,Bodega,alta,,,,,port-call?,1,"[HoC sweep] chapters,^ receiv- ing here only such brief mention as convenience may require. The visits in 1811-12 of certain American vessels with bid","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1811)"", ""note"": ""chapters,^ receiv- ing here only such brief mention as convenience may require. The visits in 1811-12 of certain American vessels with bidar""}]",,draft
,american,,1814,1814,year,San Francisco,alta,,,,,port-call?,1,[HoC sweep]  and rejoined her at San Francisco in February. Black had visited the Columbia River where he had captured an American fort as he said — -,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1814)"", ""note"": "" and rejoined her at San Francisco in February. Black had visited the Columbia River where he had captured an American fort as he said — - t""}]",,draft
,american,,1815,1815,year,Refugio,alta,,,,,port-call?,1,"[HoC sweep] ed at San Pedro and put in jail at Los Angeles. This w^as on September 19th, and on the 25th Eliot with an American and four Russians was ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1815)"", ""note"": ""ed at San Pedro and put in jail at Los Angeles. This w^as on September 19th, and on the 25th Eliot with an American and four Russians was ta""}]",,draft
,american,,1818,1818,year,San Pedro,alta,,,,,port-call?,1,"[HoC sweep]  ;'^ and on January 24th the San Ruperto, Cap- ""^ Guerra, Doc. Hist. Cat., MS., iiL 110, 134-5. In Jialy an American ship ■was anchored of","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1818)"", ""note"": "" ;'^ and on January 24th the San Ruperto, Cap- \""^ Guerra, Doc. Hist. Cat., MS., iiL 110, 134-5. In Jialy an American ship ■was anchored off ""}]",,draft
,american,,1821,1821,year,Monterey,alta,,,,,port-call?,1,[HoC sweep] Supplies — Politic Gener- osity of Franciscans— Duties on Exports and Imports — A Controversy — Movements of Vessels — American Smugglers ,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1821)"", ""note"": ""Supplies — Politic Gener- osity of Franciscans— Duties on Exports and Imports — A Controversy — Movements of Vessels — American Smugglers — ""}]",,draft
,american,,1824,1824,year,Monterey,alta,,,,,port-call?,1,[HoC sweep] LO'S RULE— LAST OF THE EMPIRE. Still another venture of Don Luis was to form a contract by which the Russian American Company could hunt o,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1824)"", ""note"": ""LO'S RULE— LAST OF THE EMPIRE. Still another venture of Don Luis was to form a contract by which the Russian American Company could hunt ott""}]",,draft
,california,,1770,1770,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] ame — Conjectures — Sergas of Esplaiidian — !Mr Hale's Discovery— Later Variations of the Name — AVho First SaTV Alta California? — UUoa, ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": ""ame — Conjectures — Sergas of Esplaiidian — !Mr Hale's Discovery— Later Variations of the Name — AVho First SaTV Alta California? — UUoa, Al""}]",,draft
,california,,1774,1774,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] January 1, 1774, the only changes being an order that the. San Bias mule train be sold and not transferred to California; a recom- mendati","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1774)"", ""note"": ""January 1, 1774, the only changes being an order that the. San Bias mule train be sold and not transferred to California; a recom- mendation""}]",,draft
