ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
activo,1802,San Diego,1,True,attach,2,35297,"ies in aid of the wai-. A)xh. .Sta B., MS., V. 68-73; vi. 298-303. The Spanish vessels of the year were the Activo, under Alf^rez Manuel de Murga, which arrived at San Fi-ancisco July 23. Prov. St. Pap., MS., xviii. 227;",auto-attach,ship+year already in registry; HoC corroboration
activo,1803,,1,False,attach,2,76743,"rreyes, Iiistrucciones, 181. DEPARTURE OF THE VOLUNTEERS. 19 company sailed in the autumn on the Princcsa and Activo, the transports of the year; tlie rest probably departed the next year.^^ Thus close the annals of 1803",auto-attach,ship+year already in registry; HoC corroboration
activo,1803,San Diego,1,True,attach,2,77451," and the other to the south with the memorias seems to have been abandoned in these years. The Priiicesa and Activo in company arrived at ISIonterey in Sept., were at Sta Bdrbara from Sept. 29th to Oct. 22d, and subseque",auto-attach,ship+year already in registry; HoC corroboration
activo,1807,,1,False,new-candidate,2,253886," by no means an exciting one. The Princesa, armed as a cruiser, returned to California to convoy the transport Activo, and to fyuard the coast asrainst foreio^n craft,^ but no foe appeared, and there is no naval battle t",weak-new,"known ship, undated narrative mention"
activo,1810,Monterey,1,False,new-candidate,2,290428," Winship at the time of his last visit in 1812.^^ The supplies for 1810 were brought by the Prin- cesa and Activo, arriving at Monterey on July and leaving the coast late in the autumn. The schooner Mosca also touched at",weak-new,"known ship, undated narrative mention"
aguila,1797,,1,False,new-candidate,1,2321052,"ade, most of them on the list of 1797, are as follows: Francisco Aharez, Javier Alviso, Francisco Alviso, Jos6 Aguila, Francisco Arias, Justo Altamirano, Jose Avila, Nicoliis Ben-eyesa, Pedro Bojorques, Jos6 Maria Benavi",weak-new,"known ship, undated narrative mention"
aguila,1800,,3,False,new-candidate,1,2371117," Acosta, Jos6, Cat. vol.* Alvarado, Francisco Javier, soldier.' Aguiar, Francisco.' Alvarado, Juan B., child.' Aguila, Jose, settler.* Alvarado, Fran. Ma. D. C, chUd.' Aguila, Juan Jos^, child.* Alvarado, Josc5 Vicente, ",weak-new,"known ship, undated narrative mention"
aguila,1808,,2,False,new-candidate,2,2131062,"io, iii. 087-8; and in '44 grantee of the Canada de Nogales rancho. iv. 634. In a Mont, padron of '36 Jos,6 Aguila is described as a painter, 50 years of age, native of Cclaya, married to Maria Fran. Garcia, a native of ",weak-new,"known ship, undated narrative mention"
aguila,1825,,1,False,new-candidate,2,2185416,"1847, on the Pion. Soc. records as a deceased member, from N. Y. Angulo (Pedro), 1825, com. of the Span. Aguila. iii. 27, 146. Anselin (Alfred), 1843, French surgeon of the batallon fijo '43-5. iv. 399; at S. F. in '44. ",weak-new,"known ship, undated narrative mention"
aguila,1827,,2,True,new-candidate,2,1815723,". J. Estudillo, Francisco Castro, Francisco Sanchez, Fedi-o del Castillo, Francisco Higuera, Ignacio Peralta, Jos6 Aguila, Ignacio Alviso, Francisco Soto, Francisco Haro, and Petronilo Rios; Jan. 4th, the 12 met, organiz",strong-new,"known ship, dated HoC event, no existing row that year"
al-,1817,Sitka,1,True,new-candidate,2,819980," above Santa Barbara, coming from Sitka. One was the schooner Lyclia, Captain Henry Gyzelaar, and the other the ship Al- hatross, Captain Wilham Smith, the latter commander and probably his vessel being known of old to t",review-new-ship,unknown ship w/ full date — FP-screen then review
al-,1848,,1,False,new-candidate,2,2353488," lieut 1st U.S. infantry; colonel in '78; living in N.Y. '70. Brewster, 1820, said to have been master of the whaler Al- vins (?). B. (F. M.), 1848, on the Julian. Brian (Henry), 1847, Co. F, Sd U.S. artill. (v. 518). Br",noise,"unknown ship, undated mention"
albatross,1797,San Francisco,1,False,new-candidate,1,2280976,"al. The name is that applied by Califomians and Mexicans to the pelican, though more properly belonging to the albatross. MAP OF SAN FRANCISCO. Map of San FKANt-isco District. 704 LOCAL EVEXTS— SAK ERANCISCO DISTRICT. wa",weak-new,"known ship, undated narrative mention"
albatross,1805,Santa Bárbara,1,False,new-candidate,2,362772," supplies at Santa Barbara in 1803; but though the Channel islands were visited by the Lelia Byrcl, OCain, and Albatross in 1805, 1807, and 1810, respectively, it does not appear that any of these vessels ventured within",weak-new,"known ship, undated narrative mention"
albatross,1806,San Francisco,1,False,new-candidate,2,392122," The visits to San Francisco of Brown and Rowan in 1803 and 1804, that of Rezdnof in 1806, and those of the Albatross and other vessels to the Farallones in 1810, have already been mentioned and require no further notice",weak-new,"known ship, undated narrative mention"
