ship_id,year,note
danube,1829,"Bancroft, HoC III, 'List of vessels 1825-30', s.v. Danube (usa ship; Sam.  Cook, master)"
franklin,1827,"Bancroft, HoC III, 'List of vessels 1825-30', s.v. Franklin (usa 333t; John  Bnidshaw, master)"
margarita,1831,"Bancroft, HoC III, 'List of vessels 1831-5', s.v. Margarita (mexico ship)"
mariquita,1833,"Bancroft, HoC III, 'List of vessels 1831-5', s.v. Mariquita (mexico 359t; Tim.  W.  Biddell, master)"
moscow,1846,"Bancroft, HoC V, 'List of vessels 1846-8', s.v. Moscow (usa ship)"
natalia,1834,"Bancroft, HoC III, 'List of vessels 1831-5', s.v. Natalia (mexico 185t; Juan  Gomez, master)"
plant,1830,"Bancroft, HoC III, 'List of vessels 1831-5', s.v. Plant (usa 300t; Bradshaw, master)"
triton,1825,"Bancroft, HoC III, 'List of vessels 1825-30', s.v. Triton ( 300t)"
volunteer,1829,"Bancroft, HoC III, 'List of vessels 1831-5', s.v. Volunteer (usa 150t; Jos  O.  Carter, master)"
waverly,1827,"Bancroft, HoC III, 'List of vessels 1825-30', s.v. Waverly ( 142t; Wm  G.  Dana, master)"
