garbled,vol,span,proposed,ship_context_hits,tier,note
AfvhiM,III,1825-30,,0,NO CANDIDATE,no reading proposed; needs the printed page
AijantcJio,IV,1841-5,Ayacucho,6,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Alford,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
ArmcUa,V,1846-8,Amelia,1,plausible,"appears in a ship context, but only once or twice"
Balavcfi,III,1831-5,Balance,3,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
BamstaJble,V,1846-8,Barnstable,4,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
BoUna,IV,1841-5,Bolivar,13,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Bowditch,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
Brayttnza,IV,1841-5,Braganza,2,plausible,"appears in a ship context, but only once or twice"
Bull,IV,1841-5,,0,NO CANDIDATE,no reading proposed; needs the printed page
CaJalina,III,1831-5,Catalina,13,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Charles,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
Columhiw,IV,1841-5,Columbia,20,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
ComHe,III,1825-30,,0,NO CANDIDATE,no reading proposed; needs the printed page
Conrtanlc,IV,1841-5,Constante,2,plausible,"appears in a ship context, but only once or twice"
Drlphos,IV,1841-5,Delphos,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Expadon,IV,1841-5,Esperanza,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Feighton,III,1831-5,Leighton,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Franl'Un,III,1825-30,Franklin,2,plausible,"appears in a ship context, but only once or twice"
HaalUio,V,1846-8,Rosalia,1,plausible,"appears in a ship context, but only once or twice"
Htfik,IV,1841-5,Hopewell,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Huntress,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
IVandsca,V,1846-8,Francisca,1,plausible,"appears in a ship context, but only once or twice"
Ilopnoe.ll,IV,1841-5,Hopewell,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
JRosa,III,1831-5,Rosa,10,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
LaUaina,IV,1841-5,Lahaina,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Lconidatt,IV,1841-5,Leonidas,5,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
