visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,amies,Amies,1827,1829,year,Monterey,alta,usa,stated,,,port-call?,1,[Bancroft list 1825-30] Amies: usa 172t Scth  Rogers master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 172t Scth  Rogers, master; at Monterey (1825-30)""}]",,draft
,apoho,Apoho,1825,1828,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Apoho:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""?  (1825-30)""}]",,draft
,argosy,Argosy,1825,1826,year,Monterey,alta,russia,stated,,,port-call?,1,[Bancroft list 1825-30] Argosy: russia 140t Inestrumo master; Monterey; Bodega,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""russia 140t Inestrumo, master; at Monterey, Bodega (1825-30)""}]",,draft
,catalina,Catalina,1830,1830,year,,alta,mexico,stated,,,unlocated,1,[Bancroft list 1825-30] Catalina: mexico C.  Cristcn master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""mexico C.  Cristcn, master;  (1825-30)""}]",,draft
,chalcedony,Chalcedony,1830,1830,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Chalcedony:  Jos  Steel master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? Jos  Steel, master;  (1825-30)""}]",,draft
,charles,Charles,1826,1826,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Charles: usa 301t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 301t  (1825-30)""}]",,draft
,clio,Clio,1828,1828,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Clio: usa 179t Aaron  W.  Williams master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 179t Aaron  W.  Williams, master;  (1825-30)""}]",,draft
,convoy,Convoy,1830,1830,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Convoy:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""?  (1825-30)""}]",,draft
,courier,Courier,1825,1828,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Courier: usa 293t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 293t  (1825-30)""}]",,draft
,cyrus,Cyrus,1830,1830,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Cyrus: usa 320t Dav.  Harriens master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 320t Dav.  Harriens, master;  (1825-30)""}]",,draft
,don,Don,1830,1830,year,Monterey,alta,,,,,port-call?,1,[Bancroft list 1825-30] Don:  Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? at Monterey (1825-30)""}]",,draft
,eagle,Eagle,1825,1825,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Eagle: usa Moraviof master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa Moraviof, master;  (1825-30)""}]",,draft
,fetvorite,Fetvorite,1827,1828,year,,alta,,,,,unlocated,1,[Bancroft list 1825-30] Fetvorite:  377t ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? 377t  (1825-30)""}]",,draft
,franl'un,Franl'Un,1826,1826,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Franl'Un: usa 294t Wm  Coffin master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 294t Wm  Coffin, master;  (1825-30)""}]",,draft
,globe,Globe,1827,1830,year,Monterey,alta,usa,stated,,,port-call?,1,[Bancroft list 1825-30] Globe: usa 190t Moore master; Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 190t Moore, master; at Monterey (1825-30)""}]",,draft
,griffon,Griffon,1826,1828,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Griffon: usa 121t Peirce master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 121t Peirce, master;  (1825-30)""}]",,draft
,mercury,Mercury,1825,1826,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Mercury: usa 340t Wm  Austin master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 340t Wm  Austin, master;  (1825-30)""}]",,draft
,minerva,Minerva,1828,1828,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Minerva: usa 160t D.  Comelio master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 160t D.  Comelio, master;  (1825-30)""}]",,draft
,moor,Moor,1825,1826,year,Monterey,alta,,,,,port-call?,1,[Bancroft list 1825-30] Moor:  Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""? at Monterey (1825-30)""}]",,draft
,nue,NUe,1825,1825,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] NUe: usa Robert  Forbes master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa Robert  Forbes, master;  (1825-30)""}]",,draft
,okhotsk,Okhotsk,1827,1827,year,,alta,russia,stated,,,unlocated,1,[Bancroft list 1825-30] Okhotsk: russia 150t Dionisio  Zarembo master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""russia 150t Dionisio  Zarembo, master;  (1825-30)""}]",,draft
,pararjon,Pararjon,1827,1827,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Pararjon: usa 309t Dav.  Edwards master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 309t Dav.  Edwards, master;  (1825-30)""}]",,draft
,peraviiin,Peraviiin,1825,1826,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Peraviiin: usa 331t Alex.  Macy master; ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa 331t Alex.  Macy, master;  (1825-30)""}]",,draft
,plowhoij,Plowhoij,1825,1825,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1825-30] Plowhoij: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC III, 'List of vessels 1825-30'"", ""note"": ""usa  (1825-30)""}]",,draft
