ship,name,span,vol,flag,tons,master,years,ports
affiance,Affiance,1825-30,III,usa,,,,Monterey
america,America,1825-30,III,,,,,
amies,Amies,1825-30,III,usa,172,Scth  Rogers,1827;1829,Monterey
apoho,Apoho,1825-30,III,,,,1825;1828,
argosy,Argosy,1825-30,III,russia,140,Inestrumo,1825;1826,Monterey|Bodega
catalina,Catalina,1825-30,III,mexico,,C.  Cristcn,1830,
chalcedony,Chalcedony,1825-30,III,,,Jos  Steel,1830,
charles,Charles,1825-30,III,usa,301,,1826,
clio,Clio,1825-30,III,usa,179,Aaron  W.  Williams,1828,
convoy,Convoy,1825-30,III,,,,1830,
courier,Courier,1825-30,III,usa,293,,1825;1828,
cyrus,Cyrus,1825-30,III,usa,320,Dav.  Harriens,1830,
danube,Danube,1825-30,III,usa,,Sam.  Cook,1829;1830,Monterey
don,Don,1825-30,III,,,,1830,Monterey
eagle,Eagle,1825-30,III,usa,,Moraviof,1825,
fetvorite,Fetvorite,1825-30,III,,377,,1827;1828,
franl'un,Franl'Un,1825-30,III,usa,294,Wm  Coffin,1826,
franklin,Franklin,1825-30,III,usa,333,John  Bnidshaw,1827;1828;1829,
globe,Globe,1825-30,III,usa,190,Moore,1827;1830,Monterey
griffon,Griffon,1825-30,III,usa,121,Peirce,1826;1828,
mercury,Mercury,1825-30,III,usa,340,Wm  Austin,1825;1826,
minerva,Minerva,1825-30,III,usa,160,D.  Comelio,1828,
moor,Moor,1825-30,III,,,,1825;1826,Monterey
nue,NUe,1825-30,III,usa,,Robert  Forbes,1825,
okhotsk,Okhotsk,1825-30,III,russia,150,Dionisio  Zarembo,1827,
pararjon,Pararjon,1825-30,III,usa,309,Dav.  Edwards,1827,
peraviiin,Peraviiin,1825-30,III,usa,331,Alex.  Macy,1825;1826,
plowhoij,Plowhoij,1825-30,III,usa,,,1825,
pocahontaa,Pocahontaa,1825-30,III,usa,302,John  Bradshaw,1825;1828;1830,
poifcifla,Poifcifla,1825-30,III,,323,Cooper,1829,
solitude,Solitude,1825-30,III,usa,,,1825;1826,
tartar,Tartar,1825-30,III,usa,301,Benj.  Morrell,1825;1827;1828,
times,Times,1825-30,III,britain,407,Wm  Ross,1828,
timorelan,Timorelan,1825-30,III,,160,,1825;1826;1827,
trident,Trident,1825-30,III,usa,450,,,
triton,Triton,1825-30,III,,300,,1825,
verale,Verale,1825-30,III,usa,140,Wm  Deny,1828;1829;1830,
warren,Warren,1825-30,III,usa,,Wm  Rice,1826;1829,Monterey
washinfjton,Washinfjton,1825-30,III,usa,140,Robt  Elwell,1825;1826;1828;1830,
waverly,Waverly,1825-30,III,,142,Wm  G.  Dana,1827;1829,
whafeman,Whafeman,1825-30,III,,316,Jos.  Paddock,1825;1830,
wumaidic,WUmaidic,1825-30,III,usa,384,Juan  Bois,,
wilminfjton,Wilminfjton,1825-30,III,usa,364,John  Bon,1825;1826;1827;1829,
american,American,1831-5,III,,88,Wm  S.  Hinckley,1832;1834,
balavcfi,Balavcfi,1831-5,III,,,Ed  Daggett,1832;1833,
bolivar,Bolivar,1831-5,III,usa,212,Nye,1832;1833;1834;1835,Monterey
california,California,1831-5,III,usa,379,Jas  Arther,1831;1833;1834;1835,
chalcedony,Chalcedony,1831-5,III,usa,219,Jos  Steel,1832;1834;1835,
diana,Diana,1831-5,III,usa,170,John  Meek,1832;1833;1835,
enriqueta,Enriqueta,1831-5,III,usa,62,Santiago  Johnson,1833;1834;1835,
fanny,Fanny,1831-5,III,,,,1831;1835,
friend,Friend,1831-5,III,usa,404,L.  B.  Blindenburg,1832,
gange,Gange,1831-5,III,,170,,1835,Monterey
guadidupc,Guadidupc,1831-5,III,,60,,1831,
harriet dlanchard,Harriet Dlanchard,1831-5,III,usa,06,Carter,1829;1833,
josephine,Josephine,1831-5,III,,,Benito  Machado,1832;1834;1835,Monterey
kitty,Kitty,1831-5,III,,,,1833,
lagoda,Lagoda,1831-5,III,usa,202,John  Bradshaw,1833;1835,
leon,Leon,1831-5,III,,,Bonnet,1835,
leanidas,Leanidas,1831-5,III,mexico,,Malarin,1833,
lfonor,Lfonor,1831-5,III,mexico,207,Henry  D.  Fitch,1831;1833;1834;1835,
mcujruder,Mcujruder,1831-5,III,usa,15,,1834,
marcus,Marcus,1831-5,III,,286,N.  S.  Bassett,1831,
margarita,Margarita,1831-5,III,mexico,,,1831;1834;1835,Monterey
mariquita,Mariquita,1831-5,III,mexico,359,Tim.  W.  Biddell,1833;1834;1835,Monterey
matador,Matador,1831-5,III,mexico,,,1835,
natalia,Natalia,1831-5,III,mexico,185,Juan  Gomez,1834,Monterey
newcastle,Newcastle,1831-5,III,usa,388,Stephen  Hersey,1832;1833;1834,Monterey
pilrjrim,Pilrjrim,1831-5,III,usa,155,Frank  A.  Thompson,1834;1835,
plant,Plant,1831-5,III,usa,300,Bradshaw,1830;1832,
jrosa,JRosa,1831-5,III,,425,Nic.  Bianchi,1834;1835,
boxana,Boxana,1831-5,III,usa,,Frank  Thompson,1832,
feighton,Feighton,1831-5,III,,351,Benj.  H.  Lawton,1829;1830;1832;1833;1834,Monterey
sitka,Sitka,1831-5,III,russia,202,Jos  Steel,1832;1834;1835,Monterey
tranquilina,Tranquilina,1831-5,III,,309,Geo.  Prinoey,1835,
urup,Urup,1831-5,III,russia,,Dionisio  Zarembo,1831;1834,
volunteer,Volunteer,1831-5,III,usa,150,Jos  O.  Carter,1829;1833,
alert,Alert,1841-5,IV,usa,398,W.  D.  Phelps,1840,
baihtl,Baihtl,1841-5,IV,russia,180,,1845,
bajio,Bajio,1841-5,IV,,403,Jas  B.  Hatch,1842;1845,Monterey
bolivar,Bolivar,1841-5,IV,usa,180,Oorham  H.  Nye,1841;1842;1843;1844,
brayttnza,Brayttnza,1841-5,IV,,,Waterman,1841,Monterey
bremen,Bremen,1841-5,IV,,,,1843;1844,
bull,Bull,1841-5,IV,,,,1845,Monterey
california,California,1841-5,IV,mexico,,Cooper,1841;1842,Monterey
california,California,1841-5,IV,usa,422,Jas  P.  Arther,1842;1843;1844;1845,Monterey
caroline,Caroline,1841-5,IV,usa,,,1843,Monterey
catnlina,Catnlina,1841-5,IV,mexico,,Chris.  Hansen,1841;1842;1843;1844,Monterey
morgan,Morgan,1841-5,IV,usa,,Thos  A.  Norton,1843;1844,Monterey
chato,Chato,1841-5,IV,mexico,202,Chas  Wolter,1841;1842;1843,Monterey
columhiw,Columhiw,1841-5,IV,mexico,55,Manuel  Turincio,1841,Monterey
conrtanlc,Conrtanlc,1841-5,IV,,220,Francisco  Unamano,1841;1842;1843;1845,
corsair,Corsair,1841-5,IV,usa,182,Michael  Dowd,1841;1843,Monterey
dale,Dale,1841-5,IV,,,,1842;1843,Monterey
drlphos,Drlphos,1841-5,IV,,270,John  Paty,1841;1843;1844,Monterey
eliza,Eliza,1841-5,IV,france,,,1841;1845,Monterey
esmeralda,Esmeralda,1841-5,IV,mexico,92,Hugo  Reid,1842;1843;1844,Monterey
expadon,Expadon,1841-5,IV,france,397,Desire  Batan,1842;1845,Monterey
fame,Fame,1841-5,IV,,,Mitchell,1843;1845,
fanny,Fanny,1841-5,IV,france,364,Duval,1843;1845,Monterey
fariseo,Fariseo,1841-5,IV,mexico,105,,1845,Monterey
fernando,Fernando,1841-5,IV,mexico,344,Stephen.  Smith,1841;1842;1843,Monterey
hamilton,Hamilton,1841-5,IV,,,Hand,1841;1845,Monterey
heroine,Heroine,1841-5,IV,france,,Jas  Smith,1842;1844;1845,Monterey
ilopnoe.ll,Ilopnoe.ll,1841-5,IV,,211,Geo.  Littletield,1841;1842;1845,Monterey
june,June,1841-5,IV,,,Eddy,1844,
lnijramjf,Lnijramjf,1841-5,IV,france,,,1844,Monterey
lconidatt,Lconidatt,1841-5,IV,mexico,,Stock,1841,
martlta,Martlta,1841-5,IV,usa,100,Dav.  R.  Drabe,1841;1845,Monterey
matador,Matador,1841-5,IV,,,,,Monterey
mntkar,Mntkar,1841-5,IV,,,Shearman,1844,Monterey
monmouth,Monmouth,1841-5,IV,,,Hedges,1844,
mona,Mona,1841-5,IV,,,Creo.  W.  Gardner,1841;1844;1845,Monterey
newton,Newton,1841-5,IV,,,,1844,
niiifa,Niiifa,1841-5,IV,mexico,,Hen.  D.  Fitch,1841,Monterey
oajaca,Oajaca,1841-5,IV,mexico,,,1841;1845,
oivvi,Oivvi,1841-5,IV,,,,1841,
panjir,Panjir,1841-5,IV,usa,,,1841;1842;1845,
prwuivera,Prwuivera,1841-5,IV,mexico,,Alex.  Chienes,1842;1844;1845,Monterey
htfik,Htfik,1841-5,IV,usa,249,Henry  S.  West,1842;1843,Monterey|Bodega
ruswll,Ruswll,1841-5,IV,,,,1844,
sacramento,Sacramento,1841-5,IV,,,,1841;1844,Monterey
sapphire,Sapphire,1841-5,IV,,,Cartwright,1841,Monterey
soledtul,Soledtul,1841-5,IV,mexico,105,Chaa  Hubbard,1843;1845,
strrlimj,Strrlimj,1841-5,IV,usa,,Geo.  W.  Vincent,1841,Monterey
trinidad,Trinidad,1841-5,IV,mexico,170,R.  Menchaca,1842;1844,Monterey
tuscany,Tuscany,1841-5,IV,,,,1842;1843;1845,Monterey
valleyficid,Valleyficid,1841-5,IV,britain,325,Alex.  Duncan,1842;1843;1845,Monterey
vandalia,Vandalia,1841-5,IV,usa,491,John  C.  Everett,1844;1845,Monterey
warren,Warren,1841-5,IV,,,,1845,
nye,Nye,1841-5,IV,,,Stevens,1841;1842;1843,Monterey
admittance,Admittance,1846-8,V,,,,1847,Monterey
alford,Alford,1846-8,V,,,,1846;1847,
america,America,1846-8,V,,,Nosh,1846,
anais,Anais,1846-8,V,,,,1847,Monterey
angola,Angola,1846-8,V,usa,311,,1846;1847,Monterey
anita,Anita,1846-8,V,usa,,,1847,
antonita,Antonita,1846-8,V,,34,,1847,
ariel,Ariel,1846-8,V,,,,1848,
baikal,Baikal,1846-8,V,russia,,,,Monterey
bowditch,Bowditch,1846-8,V,usa,,,1847,
brillante,Brillante,1846-8,V,,,,1846,Monterey
brooklyn,Brooklyn,1846-8,V,usa,450,,1846;1847,
california,California,1846-8,V,usa,,,1847;1848,Monterey
caroline,Caroline,1846-8,V,,,,1846,
charles,Charles,1846-8,V,usa,,,1847,
copia,Copia,1846-8,V,usa,,,1847,
corea,Corea,1846-8,V,usa,,,1847,
covington,Covington,1846-8,V,usa,,,1846;1847;1848,
edward,Edward,1846-8,V,usa,,,1846,
elizabeih,Elizabeih,1846-8,V,usa,,,1846,
elizabeth,Elizabeth,1846-8,V,usa,60,Charles  Wolters,1847;1848,
euphemia,Euphemia,1846-8,V,,150,,1846;1847;1848,Monterey
euphrates,Euphrates,1846-8,V,usa,,,1847,
europa,Europa,1846-8,V,,,,1846;1847,
fama,Fama,1846-8,V,usa,,,1845;1846,
ferdinand,Ferdinand,1846-8,V,,,,1846,
flecha,Flecha,1846-8,V,,,,1848,Monterey
ivandsca,IVandsca,1846-8,V,usa,,,1847,
hannah,Hannah,1846-8,V,usa,,,1846,
