garbled_name,vol,span,proposed_fix,confidence
AfvhiM,III,1825-30,(manual),0
Charles,III,1825-30,caroline,0.67
ComHe,III,1825-30,comète,0.73
Franl'Un,III,1825-30,franklin,0.8
Pararjon,III,1825-30,paragon,0.8
Peraviiin,III,1825-30,peruvian,0.71
PorahontciJi,III,1825-30,pocahontas,0.64
Poifcifla,III,1825-30,pilar,0.57
Spy,III,1825-30,spy,1.0
Trident,III,1825-30,triad,0.67
Washinfjton,III,1825-30,washington,0.86
Whafeman,III,1825-30,warren,0.57
Wilminfjton,III,1825-30,wilmington,0.86
Balavcfi,III,1831-5,buldacoff,0.47
CaJalina,III,1831-5,catalina,0.88
OencralJackson,III,1831-5,(manual),0
Lfonor,III,1831-5,leonor,0.83
Mcujruder,III,1831-5,crusader,0.71
MoreloB,III,1831-5,morelos,0.86
Pilrjrim,III,1831-5,pilgrim,0.8
JRosa,III,1831-5,rosalía,0.67
Feighton,III,1831-5,covington,0.59
SterUon,III,1831-5,sterling,0.67
Tranquilina,III,1831-5,franklin,0.63
WUmimjUm,III,1831-5,(manual),0
AijantcJio,IV,1841-5,valiant,0.59
BoUna,IV,1841-5,boxana,0.73
Brayttnza,IV,1841-5,aranzazú,0.59
Bull,IV,1841-5,(manual),0
Columhiw,IV,1841-5,columbia,0.75
Conrtanlc,IV,1841-5,constancia,0.74
Drlphos,IV,1841-5,morelos,0.57
Expadon,IV,1841-5,don,0.6
Ilopnoe.ll,IV,1841-5,hopewell,0.59
Lnijramjf,IV,1841-5,(manual),0
LaUaina,IV,1841-5,la catalina,0.67
Lconidatt,IV,1841-5,leonidas,0.71
MaynoVa,IV,1841-5,magnolia,0.67
Martlta,IV,1841-5,maría,0.67
MedkiM,IV,1841-5,(manual),0
Mntkar,IV,1841-5,mentor,0.67
Niiifa,IV,1841-5,ninfa,0.73
Prwuivera,IV,1841-5,primavera,0.78
Htfik,IV,1841-5,(manual),0
Ruswll,IV,1841-5,(manual),0
Snnth,IV,1841-5,(manual),0
Soledtul,IV,1841-5,solitude,0.62
Strrlimj,IV,1841-5,sterling,0.62
Valleyficid,IV,1841-5,(manual),0
Alford,V,1846-8,califorma,0.67
ArmcUa,V,1846-8,marcus,0.67
BamstaJble,V,1846-8,barnstable,0.8
Bowditch,V,1846-8,(manual),0
Charles,V,1846-8,caroline,0.67
IVandsca,V,1846-8,riascta,0.67
HaalUio,V,1846-8,paraiso,0.57
Huntress,V,1846-8,reisos,0.57
MathUde,V,1846-8,panther,0.57
PrescoU,V,1846-8,reisos,0.62
Spy,V,1846-8,spy,1.0
Starling,V,1846-8,sterling,0.88
Sterling,V,1846-8,sterling,1.0
WhUon,V,1846-8,union,0.6
