ship_id,year,note
albatross,1816,"Ogden 1941, appendix s.v. 'Albatross, 1816' (Refugio, 1816)"
alexander,1803,"Ogden 1941, appendix s.v. 'Alexander, 1803' (San Quintín, 1803)"
baikal,1828,"Ogden 1941, appendix s.v. 'Baikal, 1828-1829' (San Diego, 1828)"
betsy,1800,"Ogden 1941, appendix s.v. 'Betsy, 1800' (San Blas, 1800)"
bordelais,1817,"Ogden 1941, appendix s.v. 'Bordelais, 1817' (San Francisco, 1817-11-20)"
brookline,1829,"Ogden 1941, appendix s.v. 'Brookline, 1829-1830' (Santa Bárbara, 1829)"
buldakov,1823,"Ogden 1941, appendix s.v. 'Buldakov, 1823' (Santa Cruz, 1823)"
clarion,1818,"Ogden 1941, appendix s.v. 'Clarion, 1818' (Santa Bárbara, 1818)"
convoy,1831,"Ogden 1941, appendix s.v. 'Convoy, 1831' (San Pedro, 1831)"
eagle,1822,"Ogden 1941, appendix s.v. 'Eagle, 1822' (Santa Bárbara, 1822)"
harbinger,1826,"Ogden 1941, appendix s.v. 'Harbinger, 1826-1827' (San Diego, 1826)"
harbinger,1827,"Ogden 1941, appendix s.v. 'Harbinger, 1827' (Monterey, 1827)"
hazard,1803,"Ogden 1941, appendix s.v. 'Hazard, 1803' (Monterey, 1803)"
hazard,1804,"Ogden 1941, appendix s.v. 'Hazard, 1804' (San Diego, 1804)"
kodiak,1808,"Ogden 1941, appendix s.v. 'Kodiak, 1808-1809' (Trinidad, 1808)"
lelia byrd,1803,"Ogden 1941, appendix s.v. 'Lelia Byrd, 1803' (San Quintín, 1803-05-03)"
lelia byrd,1804,"Ogden 1941, appendix s.v. 'Lelia Byrd, 1804' (San Francisco, 1804)"
lelia byrd,1805,"Ogden 1941, appendix s.v. 'Lelia Byrd, 1805' (San Diego, 1805)"
loriot,1833,"Ogden 1941, appendix s.v. 'Loriot, 1833-1834' (Santa Bárbara, 1833)"
lydia,1816,"Ogden 1941, appendix s.v. 'Lydia, 1816' (Santa Bárbara, 1816-03-15)"
mentor,1823,"Ogden 1941, appendix s.v. 'Mentor, 1823' (Monterey, 1823)"
mentor,1824,"Ogden 1941, appendix s.v. 'Mentor, 1824' (San Diego, 1824)"
mercury,1808,"Ogden 1941, appendix s.v. 'Mercury, 1808-1809' (San Juan Capistrano, 1808)"
mercury,1810,"Ogden 1941, appendix s.v. 'Mercury, 1810' (San Quintín, 1810)"
mercury,1813,"Ogden 1941, appendix s.v. 'Mercury, 1813' (Santa Bárbara, 1813)"
nile,1825,"Ogden 1941, appendix s.v. 'Nile, 1825' (Santa Bárbara, 1825)"
otter,1796,"Ogden 1941, appendix s.v. 'Otter, 1796' (Monterey, 1796-11-06)"
peacock,1806,"Ogden 1941, appendix s.v. 'Peacock, 1806' (San Diego, 1806)"
pedler,1814,"Ogden 1941, appendix s.v. 'Pedler, 1814' (San Luis Obispo, 1814)"
princesa,1805,"Ogden 1941, appendix s.v. 'Princesa, 1805' (San Blas, 1805)"
rover,1823,"Ogden 1941, appendix s.v. 'Rover, 1823' (Monterey, 1823-07-19)"
rover,1824,"Ogden 1941, appendix s.v. 'Rover, 1824-1825' (Monterey, 1824-03-23)"
sachem,1822,"Ogden 1941, appendix s.v. 'Sachem, 1822-1823' (Monterey, 1822)"
sultan,1816,"Ogden 1941, appendix s.v. 'Sultan, 1816' (Monterey, 1816)"
tasso,1845,"Ogden 1941, appendix s.v. 'Tasso, 1845-1848' (San Francisco, 1845)"
volga,1822,"Ogden 1941, appendix s.v. 'Volga, 1822' (Monterey, 1822)"
volunteer,1830,"Ogden 1941, appendix s.v. 'Volunteer, 1830' (San Blas, 1830)"
washington,1825,"Ogden 1941, appendix s.v. 'Washington, 1825' (San Diego, 1825)"
washington,1826,"Ogden 1941, appendix s.v. 'Washington, 1826' (Santa Bárbara, 1826)"
washington,1829,"Ogden 1941, appendix s.v. 'Washington, 1829' (Monterey, 1829)"
