ship,name,entry,date_from,date_to,conf,anchorage,offshore
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Monterey,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Monterey,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Santa Bárbara,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Diego,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Monterey,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Santa Bárbara,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Diego,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Monterey,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Francisco,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Francisco,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Monterey,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823-11-15,1823-11-15,exact,Santa Bárbara,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Diego,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,Santa Bárbara,False
caauifrornia,CaAuIFrorniA,"CaAuIFrorniA, 1823-1831",1823,1823,year,San Blas,False
