visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,caauifrornia,CaAuIFrorniA,1823,1823,year,San Blas,baja,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: San Blas 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: San Blas 1823""}]",,draft
,caauifrornia,CaAuIFrorniA,1823,1823,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: Monterey 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: Monterey 1823""}]",,draft
,caauifrornia,CaAuIFrorniA,1823,1823,year,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: Santa Bárbara 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: Santa Bárbara 1823""}]",,draft
,caauifrornia,CaAuIFrorniA,1823,1823,year,San Diego,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: San Diego 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: San Diego 1823""}]",,draft
,caauifrornia,CaAuIFrorniA,1823,1823,year,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: San Francisco 1823","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: San Francisco 1823""}]",,draft
,caauifrornia,CaAuIFrorniA,1823-11-15,1823-11-15,exact,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: Santa Bárbara 1823-11-15","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: Santa Bárbara 1823-11-15""}]",,draft
,caauifrornia,CaAuIFrorniA,1823-10-24,1823-10-24,exact,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] CaAuIFrorniA, 1823-1831: Monterey 1823-10-24","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'CaAuIFrorniA, 1823-1831'"", ""note"": ""sailing schedule: Monterey 1823-10-24""}]",,draft
,butterworth,Butterworth,1793,1793,year,Santa Cruz,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Butterworth, 1793: Santa Cruz 1793","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Butterworth, 1793'"", ""note"": ""sailing schedule: Santa Cruz 1793""}]",,draft
,butterworth,Butterworth,1793,1793,year,San Francisco,alta,,,otter,arrived,offshore-presence,1,"[Ogden itinerary] Butterworth, 1793: San Francisco 1793","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Butterworth, 1793'"", ""note"": ""sailing schedule: San Francisco 1793""}]",,draft
,jackal,Jackal,1793,1793,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Jackal, 1793: Monterey 1793","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Jackal, 1793'"", ""note"": ""sailing schedule: Monterey 1793""}]",,draft
