ship_id,name_variants,flag_guess,first_seen,last_seen,n_visits,status
activo,Activo (24),spain,1793,1805,24,draft
adela,Adela (1),,1837,1837,1,draft
aguila,Águila (7),usa,1822,1829,7,draft
alabama,Alabama (1),usa,1829,1829,1,draft
albatross,Albatross (3),usa,1816,1816,3,draft
alert,Alerta (3); Alert (2),usa,1837,1842,4,draft
alexander,Alexander (11); ALEXANDER (3),usa,1803,1810,12,draft
andes,Andes (2),usa,1829,1829,2,draft
ann,Ann (1),britain,1841,1841,1,draft
antonio,Antonio (1),britain,1817,1817,1,draft
apollon,Apolo (4); Apollo (2),russia,1822,1825,6,draft
apolonia,Apolonia (1),usa,1823,1823,1,draft
aquatic,Aquatic (1),britain,1830,1830,1,draft
aquiles,Aquiles (2),,1825,1829,2,draft
aranzazu,Aránzazu (27); Aranzazu (16); Aranzazú (12),spain,1784,1801,52,draft
asia,Asia (10),spain,1825,1829,10,draft
aspiroz,Aspiroz (1),britain,1821,1821,1,draft
astrolabe,Astrolabe (1),france,1786,1786,1,draft
atala,Atala (1),usa,1815,1815,1,draft
ayacucho,Ayacucho (10),spain,1830,1839,10,draft
baikal,Baikal (11); Vaycal (1); Baykal (1); Bagol (1),russia,1825,1840,13,draft
barnstable,Barnstable (1),usa,1846,1846,1,draft
betsy,Betsy (4),usa,1800,null,4,draft
bordelais,Bordelais (3),france,1815,1817,3,draft
boussole,Boussole (1),france,1786,1786,1,draft
brookline,Brookline (3),usa,1829,1830,3,draft
brooklyn,Brooklyn (9),usa,1829,1839,9,draft
bruja,Bruja (1),russia,1834,1834,1,draft
buldakov,Buldacoff (2); Buldakoff (2); Buldakov (2); Bucklakoff (1),russia,1822,1824,7,draft
cadiac,Cadiac (1),,1827,1827,1,draft
caledonia,Caledonia (1),,1833,1833,1,draft
califa,Califa (1),usa,1833,1833,1,draft
californio,Californio (2),spain,1785,1800,2,draft
caminante,Caminante (1),,1817,1817,1,draft
cariotide,Cariótide (1),britain,1841,1841,1,draft
carmen,Carmen (1),,1809,1809,1,draft
catalina,Catalina (7); CATALINA (1),spain,1831,1842,8,draft
cazadora,Cazadora (2),britain,1817,1817,2,draft
chatham,Chatham (4),britain,1792,1795,4,draft
chirikov,Chirikov (2),russia,1815,1816,2,draft
clara,Clara (1),,1840,1840,1,draft
clarion,Clarion (1),usa,1818,1818,1,draft
clarita,Clarita (5),spain,1840,1845,5,draft
claudine,Claudine (1),britain,1822,1822,1,draft
clementina,Clementina (1),,1839,1839,1,draft
cleusa,Cleusa (1),,1820,1820,1,draft
columbia,Columbia (3),usa,1815,1816,3,draft
cometa,Cometa (1),usa,1827,1827,1,draft
comete,Comète (1),france,1827,1827,1,draft
concepcion,Concepción (93),spain,1775,1808,93,draft
congreso mejicano,Congreso Mejicano (1),,1827,1827,1,draft
consecuencia,Consecuencia (1),,1818,1818,1,draft
constancia,Constancia (1),,1824,1824,1,draft
constante,Constante (6),,1825,1825,6,draft
constantine,Constantine (2),russia,1841,1846,2,draft
convoy,Convoy (4),russia,1831,1831,4,draft
cora,Cora (1),usa,1828,1828,1,draft
corsario,Corsario (1),russia,1839,1839,1,draft
cossack,Cosak (7); Cossack (4),usa,1815,1823,10,draft
courier,Courier (3),russia,1826,1827,3,draft
cowlitz,Cowlitz (1),usa,1841,1841,1,draft
curacoa,Curacoa (1),britain,1841,1841,1,draft
daedalus,Daedalus (1),britain,1792,1793,1,draft
danube,Danube (3),usa,1829,1830,3,draft
descubierta,Descubierta (4); La Descubierta (2),spain,1792,1821,6,draft
diga,Diga (1),russia,1823,1823,1,draft
discovery,Discovery (5),britain,1792,1794,5,draft
don quijote,Don Quijote (2),spain,1839,1845,2,draft
dos hermanos,Dos Hermanos (1),usa,1829,1829,1,draft
dromo,Dromo (1),usa,1808,1808,1,draft
eagle,Eagle (4),usa,1807,1822,4,draft
el alcion,El Alción (2),spain,1820,1822,2,draft
el aventurero,El Aventurero (1),spain,1819,1819,1,draft
el pelao,El Pelao (1),,1781,1781,1,draft
el rey,El Rey (1),,1781,1781,1,draft
el senoriano,El Señoriano (2),,1820,1821,2,draft
elena,Elena (2),russia,1838,1840,2,draft
eliza,Eliza (3); ELIZA (1),usa,1798,1826,3,draft
emilia,Emilia (1),usa,1828,1828,1,draft
emily marshall,Emily Marshall (2),britain,1830,1830,2,draft
enrique,Enrique (3),,1797,1840,3,draft
enriqueta,Enriqueta (2),,1830,1830,2,draft
enterprise,Enterprise (2),russia,1824,null,2,draft
envoy,Envoy (1),,1831,1831,1,draft
esmeralda,Esmeralda (1),,1844,1844,1,draft
ester,Ester (1),,1828,1828,1,draft
estrella de occidente,Estrella de Occidente (2),britain,1843,1845,2,draft
europa,Europa (3),russia,1820,1822,3,draft
factor,Factor (1),usa,1825,1825,1,draft
fama,Fama (2),,1785,1842,2,draft
favorita,Favorita (10),spain,1779,1793,10,draft
favourite,Favourite (1),usa,1827,1827,1,draft
fenix,Fénix (2); El Fénix (1),britain,1795,1833,2,draft
flora,Flora (5); La Flora. (1),spain,1813,1816,5,draft
fortuna,Fortuna (2),,1825,1825,2,draft
francia,Francia (1),france,1817,1817,1,draft
franklin,Franklin (16),usa,1826,1830,16,draft
funchal,Funchal (4),britain,1829,1829,4,draft
gen. bravo,Gen. Bravo (2),,1826,1826,2,draft
genovesa flora,Genovesa Flora (1),,1834,1834,1,draft
globe,Globe (1),,1831,1831,1,draft
goleta real pacifico,Goleta Real Pacífico (1),,1835,1835,1,draft
golovnin,Golovnín (1),russia,1827,1827,1,draft
grafton,Grafton (1),usa,1831,1831,1,draft
guadalupe,Guadalupe (2),spain,1805,1831,2,draft
guillermo chiquito,Guillermo Chiquito (1),russia,1831,1831,1,draft
guipuzcoana,Guipuzcoana (2),mexico,1833,1841,2,draft
harbinger,Harbinger (3),usa,1826,1829,3,draft
hazard,Hazard (3); HAZARD (3),usa,1803,1804,4,draft
hebe,Hebe (1),britain,1823,1823,1,draft
heros,Héros (2); Le Héros (1),france,1827,1828,3,draft
hopewell,Hopewell (1),usa,1845,1845,1,draft
ilmena,Ilmena (6); ILMENA (1),russia,1814,1820,6,draft
iron tarlar,Iron Tarlar (1),,1824,1824,1,draft
isaac tarlar,Isaac Tarlar (1),britain,1824,1824,1,draft
isaac todd,Isaac Todd (1),britain,1814,1814,1,draft
isabel,Isabel (3); Ysabela (1),usa,1827,1841,4,draft
javier sartar,Javier Sartar (1),britain,1824,1824,1,draft
john begg,John Begg (2),russia,1822,1823,2,draft
jorge henriquez,Jorge Henríquez (1),,1843,1843,1,draft
joven tartaro,Joven Tártaro (2); Joven Sartaro (1),britain,1824,1826,3,draft
juan jose,Juan José (1),,1841,1841,1,draft
juno-1767,Juno (1),spain,1767,1767,1,draft
juno-rac,Juno (4),russia,1806,1806,4,draft
karimoko,Karimoko (1),britain,1828,1828,1,draft
kiakhta,Riascta (1); Kiakhta (1),russia,1826,1829,2,draft
kniaz,Kníaz (1),russia,1824,1824,1,draft
kodiak,Kodiak (1); [Coniach/Goosebfh — Savage garbles] (1),russia,1808,1809,2,draft
kreiser,Kreiser (2); Kreyser (1),russia,1823,1824,3,draft
kutuzov,Kutusoff (2); Kutúzov (1); Cutusoff (1),russia,1817,1822,4,draft
la catalina,LA CATALINA (1),usa,1803,1803,1,draft
la elisa,La Elisa (1),usa,1801,1801,1,draft
la fama,La Fama (1),,1797,1797,1,draft
la hermosa mexicana,La Hermosa Mexicana (1),mexico,1817,1817,1,draft
la independencia,La Independencia (1),spain,1822,1822,1,draft
la paloma,La Paloma (1),britain,1830,1830,1,draft
las dos hermanas,Las dos hermanas (1),usa,1823,1823,1,draft
lazaro,Lázaro (1),,1803,1803,1,draft
legaspi,Legaspi (1),spain,1833,1833,1,draft
lelia byrd,Lelia Bird (2); Lelia Byrd (2); LELIA BIRD (1); William Shaler (1),usa,1803,1805,4,draft
leonidas,Leonidas (2),spain,1836,1840,2,draft
leonor,Leonor (5),spain,1830,1836,5,draft
lidia,Lidia (2),usa,1816,1816,2,draft
loretana,Loretana (8),spain,1786,1797,8,draft
loriot,Loriot (3),britain,1823,1833,3,draft
louisa,Louisa (3),russia,1831,1831,3,draft
lydia,Lydia (6),usa,1816,1828,6,draft
magallanes,Magallanes (2),spain,1797,1797,2,draft
