visit_id,ship_id,ca_ref,leaf,date,verdict,note
v0213,discovery,C-A 54 d1077,n115,1792,confirmed,first British visit — Llegada de Vancouver dispatch
v0837,juno-rac,C-A 12 d100,n107,1806-04-08,confirmed,first Russian ship — crew roster + archivist note
v1253,ontario,C-A 56 d195,n189,1822-10-13,corrected,first Alta whaler — fragata ballenera Ontario
v1256,apollon,C-A 56 d198,n191,1822-11-26,confirmed,"first Russian warship — Martínez to Solá, 32 guns"
v1392,morelos,C-A 18 d123,n155,1825-07-28,confirmed,"first Mexican-flag — convict transport, brig Morelos"
v0103,favorita,C-A 22 d247,n179,1784-08-04,confirmed,Llegada de la Favorita a Sta Barbara con viveres
v0068,santiago,C-A 22 d152,n133,1779-07-18,confirmed,Llegada del Santiago con viveres
v1819,morelos-corvette,C-A 20 d220,n145,1834-11-13,confirmed,corbeta Nacional Morelos crew muster -- confirms brig/corvette split
v0350,sutil,C-A 24 d—,n219,1794-12-16,corrected,"real Goleta Sutil (+Mexicana), salida p. San Blas 16 Dec 1794; excerpt was a neighboring record"
v0576,mercedes,C-A 24 d—,n289,1797-10-01,corrected,"real balandra Mercedes (salida p. el Yaqui, 1 Oct 1797); excerpt was a neighboring record"
v0604,concepcion,C-A 24 d—,n178,1797-12-04,confirmed,Visita a la Fragata Concepcion + recruit order; bonus Princesa
v0637,activo,C-A 24 d—,n200,1798-09-02,confirmed,Salida del Bergantin Activo + Pedro Font (leaf dates departure Nov 19 1798)
v1689,volunteer,C-A 48 d—,n391,1830-10-22,confirmed,"barca Am. Volunteer, $1500 troop pay + sumaria detail"
v2006,fama,C-A 35 d—,n292,1842-12,confirmed,fragata Fama -- Manuel Jimeno disembarked Sta B. 25 Dec 1842
v2021,jorge henriquez,C-A 49 d—,n402,1843-05-31,confirmed,barca Jorge Henriquez customs; Mazatlan $2000/mo
