visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
v0001,juno-1767,Juno,1767-11-03,1767-11-03,exact,,alta,spain,attested/inferred,exploration,,unlocated,1,"Pay and wine rations for Compañía franca de Voluntarios de Cataluña, destined for Expedición de Sonora. Embarked from Cá","[{""type"": ""ca-record"", ""ca"": ""1"", ""doc"": ""2"", ""scan"": ""n1–n3"", ""url"": ""https://archive.org/details/168036075_79_3_2/page/n1""}]",,draft
v0002,june,,1769,1769,year,Loreto,alta,,,,,port-call?,1,"[HoC sweep] eed him in the governorship. I do not know the exact date of Aimona's appointment, but he arrived atLoreto in June 1769, and went back to ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1769)"", ""note"": ""eed him in the governorship. I do not know the exact date of Aimona's appointment, but he arrived atLoreto in June 1769, and went back to th""}]",,draft
v0003,june,,1769,1769,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] y 1st. Fages was military chief of the sea branch of the expedition, and commandant on shore from May 1st to June 29th, thus being CaUfomi","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1769)"", ""note"": ""y 1st. Fages was military chief of the sea branch of the expedition, and commandant on shore from May 1st to June 29th, thus being CaUfomia'""}]",,draft
v0004,san carlos,San Carlos,1769-01-03,1769-01-03,exact,,alta,spain,attested/inferred,supply,,unlocated,2,"*San Carlos* supply manifest — 'Resúmen de lo embarcado': carne seca 187@, galleta 267@, maíz 160½ fanegas, arroz 37@, e","[{""type"": ""ca-record"", ""ca"": ""1"", ""doc"": ""4"", ""scan"": ""n20"", ""url"": ""https://archive.org/details/168036075_79_3_2/page/n20""}, {""type"": ""hoc"", ""ref"": ""Bancroft HoC I narrates this vessel in 1769 (Monterey, San Diego)""}, {""type"": ""ca-record"", ""ca"": ""62"", ""doc"": ""20"", ""note"": ""[calendar2 ca62-d20] THE 1769 FIRST-LAND-DIVISION DIARY (Sacred Expedition) VERBATIM: Rivera's company marches Velicatá→San Diego (121 leguas""}]",,draft
v0005,california,,1770,1770,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] ame — Conjectures — Sergas of Esplaiidian — !Mr Hale's Discovery— Later Variations of the Name — AVho First SaTV Alta California? — UUoa, ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": ""ame — Conjectures — Sergas of Esplaiidian — !Mr Hale's Discovery— Later Variations of the Name — AVho First SaTV Alta California? — UUoa, Al""}]",,draft
v0006,fernando,,1770,1770,year,Loreto,alta,,,,,port-call?,1,"[HoC sweep]  was a native of Anento in Aragon, and became a Franciscan at Zaragoza. 0£ his coming to America and to San Fernando col- lege I have foun","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": "" was a native of Anento in Aragon, and became a Franciscan at Zaragoza. 0£ his coming to America and to San Fernando col- lege I have found ""}]",,draft
v0007,june,,1770,1770,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  Francisco and the newly discovered inland bay had not Perez' orders required him to steer direct for Monterey. June 1st the governor, fri","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": "" Francisco and the newly discovered inland bay had not Perez' orders required him to steer direct for Monterey. June 1st the governor, friar""}]",,draft
v0008,(unnamed vessel),,1772,1772,inferred,,alta,,,supply,,unlocated,1,"Transport difficulties — 300 leagues through gentile territory. Soldier discipline, supply loads","[{""type"": ""ca-record"", ""ca"": ""1"", ""doc"": ""7"", ""scan"": ""n100"", ""url"": ""https://archive.org/details/168036075_79_3_2/page/n100""}]",,draft
v0009,june,,1772,1772,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] e president immediately announced the distribution of priests to their respec- tive missions,"" and on the 7th of June the six intended for","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1772)"", ""note"": ""e president immediately announced the distribution of priests to their respec- tive missions,\"" and on the 7th of June the six intended for t""}]",,draft
v0010,principe,Príncipe,1772-03-31,1772-03-31,exact,San Blas,alta,spain,attested/inferred,,,port-call?,2,Cargo of the paquebot *San Antonio* (alias *Príncipe*) to deliver at Monterey. Orig. pp.265–269.,"[{""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""15"", ""scan"": ""n19"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n19""}, {""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""19"", ""scan"": ""n20"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n20""}]",,draft
v0011,san antonio,San Antonio,1772-03-31,1772-03-31,exact,San Blas,alta,spain,attested/inferred,,,port-call?,1,Cargo of the paquebot *San Antonio* (alias *Príncipe*) to deliver at Monterey. Orig. pp.265–269.,"[{""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""15"", ""scan"": ""n19"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n19""}, {""type"": ""hoc"", ""ref"": ""Bancroft HoC I narrates this vessel in 1772 (Monterey)""}]",,draft
v0012,principe,Príncipe,1772-04-02,1772-04-03,exact,San Blas,alta,spain,attested/inferred,,,port-call?,2,Effects for Calif. presidios/missions shipped on the paquebot *Príncipe*: 10 tercios raw tobacco (1990 lbs) for Monterey,"[{""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""12"", ""scan"": ""n17–n18"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n17""}, {""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""18"", ""scan"": ""n19"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n19""}]",,draft
v0013,san carlos,San Carlos,1772-04-02,1772-04-03,exact,San Blas,alta,spain,attested/inferred,,,port-call?,3,"Receipt for carpentry tools shipped on the *San Carlos* for Fages at Monterey (6 azuelas, 6 escoplos, garlopa, gubias, b","[{""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""10"", ""scan"": ""n17"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n17""}, {""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""17"", ""scan"": ""n19"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n19""}, {""type"": ""ca-record"", ""ca"": ""15"", ""doc"": ""22"", ""scan"": ""n22"", ""url"": ""https://archive.org/details/168035972_79_17_2/page/n22""}, {""type"": ""hoc"", ""ref"": ""Bancroft HoC I narrates this vessel in 1772 (San Diego)""}]",,draft
v0014,june,,1773,1773,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] Tai/hr's Dkcon. and Found. , ii. 49. This Eepresentacion with that of April •22d was referred to the fiscal on June 10th. '"" Bucareli, Pro","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1773)"", ""note"": ""Tai/hr's Dkcon. and Found. , ii. 49. This Eepresentacion with that of April •22d was referred to the fiscal on June 10th. '\"" Bucareli, Provk""}]",,draft
